Nombre,Disponibilidad,precio de Venta,Precio de Alquiler,Recamaras,Baños,Dimensión,Tipo de vivienda,vivienda nueva / de segunda
Panama Bay Tower,ALQUILER,"$2,500.00",,3,3,339,APARTAMENTOS,
Riverside,VENTALQUILER,"$330,000.00","$1,800.00",2,2,142,APARTAMENTOS,DE SEGUNDA
Penthouse Breeze Costa del Este,VENTA,"$1,200,000.00",,4,5,443,APARTAMENTOS,NUEVO
TEN TOWER,VENTA,"$895,000.00",,3,3,432,APARTAMENTOS,NUEVO
COSTA REAL TOWER,ALQUILER,"$1,900.00",,3,3,222,APARTAMENTOS,
Casa,VENTA,"$700,000.00",,3,3,313,CASAS,NUEVO
SOHO TOWER AMOBLADO,ALQUILER,"$2,300.00",,3,3,207,APARTAMENTOS,
Parque del Mar,VENTALQUILER,"$380,000.00","$1,750.00",3,3,202,APARTAMENTOS,DE SEGUNDA
PH – Pearl At The Sea,VENTA,"$695,000.00",,3,3,291,APARTAMENTOS,NUEVO
PARKSIDE,VENTA,"$300,000.00",,1,1,96,APARTAMENTOS,DE SEGUNDA
Sevilla,VENTALQUILER,"$220,000.00","$1,200.00",2,2,110,APARTAMENTOS,DE SEGUNDA
LATITUDE,VENTA,"$485,000.00",,3,3,210,APARTAMENTOS,NUEVO
Acqua II,ALQUILER,"$3,500.00",,3,5,348,APARTAMENTOS,
PH TITANIUM,VENTA,"$475,000.00",,3,3,226,APARTAMENTOS,NUEVO
Royal Pacific,VENTA,"$1,350,000.00",,4,4,561,CASAS,NUEVO
MURANO,VENTA,"$700,000.00",,3,3,290,APARTAMENTOS,NUEVO
TEN TOWER,VENTA,"$925,000.00",,3,3,424,APARTAMENTOS,NUEVO
COSTA DEL ESTE COUNTRY CLUB,RENTANDO,"$389,000.00","$1,400.00",3,3,204,APARTAMENTOS,
TOSCANA DEL ESTE,VENTA,"$2,200,000.00",,4,4,650,CASAS,NUEVO
BALMORAL,VENTA,"$3,200,000.00",,5,8,850,CASAS,NUEVO
THE REGENT COUNTRY CLUB,VENTA,"$315,000.00",,2,2,106,APARTAMENTOS,DE SEGUNDA
THE REGENT COUNTRY CLUB,VENTA,"$280,000.00",,2,2,96,APARTAMENTOS,DE SEGUNDA
RIVERSIDE,RENTANDO,"$325,000.00",,2,2,130,APARTAMENTOS,
MAREA II,VENTA,"$2,221,700.00",,4,4,718,APARTAMENTOS,NUEVO
MAREA II,VENTA,"$2,206,700.00",,4,4,718,APARTAMENTOS,NUEVO
MAREA II,VENTA,"$2,191,700.00",,4,4,718,APARTAMENTOS,NUEVO
THE REGENT COSTA DEL ESTE,ALQUILER,"$1,950.00",,3,3,202,APARTAMENTOS,
MAREA I,VENTA,"$2,000,000.00",,4,4,680,APARTAMENTOS,NUEVO
CASTELLAMARE,ALQUILER,"$1,600.00",,2,2,137,APARTAMENTOS,
PALMERAS DEL ESTE,VENTA,"$889,000.00",,3,3,368,CASAS,NUEVO
TEN TOWER,ALQUILER,"$4,500.00",,3,3,419,APARTAMENTOS,
ACQUA I,VENTA,"$915,000.00",,3,3,325,APARTAMENTOS,NUEVO
MAREA II,VENTA,"$2,389,000.00",,4,4,1145,APARTAMENTOS,NUEVO
TERRENO EN PUERTA DEL MAR,VENTA,"$1,000,000.00",,,,,,NUEVO
BREEZE,ALQUILER,"$2,300.00",,3,3,239,APARTAMENTOS,
TERRENO PARQUE INDUSTRIAL COSTA DEL ESTE,VENTA,"$2,931,250.00",,,,,,NUEVO
PARAMOUNT,ALQUILER,,,3,3,323,APARTAMENTOS,
COSTA DEL ESTE COUNTRY CLUB,ALQUILER,"$1,900.00",,3,3,204,APARTAMENTOS,
ACQUA I,VENTA,"$1,040,000.00",,3,3,325,APARTAMENTOS,NUEVO
TOP TOWERS,VENTA,"$245,000.00",,2,2,119,APARTAMENTOS,DE SEGUNDA
TITANIUM,VENTA,"$550,000.00",,3,3,223,APARTAMENTOS,NUEVO
PARQUE DEL MAR I,VENTA,"$470,000.00",,3,3,202,APARTAMENTOS,NUEVO
PANAMA BAY,ALQUILER,"$3,000.00",,3,3,338,APARTAMENTOS,
MAGNOLIAS,VENTA,"$1,595,000.00",,4,4,807,CASAS,NUEVO
COSTA VIEW,VENTA,"$285,000.00",,3,2,164,APARTAMENTOS,NUEVO
MURANO,VENTA,"$790,000.00",,3,3,323,APARTAMENTOS,NUEVO
COSTA DE LAS PERLAS,VENTALQUILER,"$1,400,000.00","$4,500.00",4,4,,CASAS,NUEVO
SEVILLA,ALQUILER,"$1,600.00",,3,3,188,APARTAMENTOS,
SOL DEL ESTE TORRE 2,RENTANDO,"$290,000.00","$1,500.00",3,3,147,APARTAMENTOS,
GREEN BAY TORRE 4,RENTANDO,"$400,000.00","$1,800.00",4,3,163,APARTAMENTOS,
TOP TOWERS,VENTA,"$270,000.00",,2,2,113,APARTAMENTOS,DE SEGUNDA
MAGNOLIAS,VENTA,"$2,500,000.00",,4,5,1100,CASAS,NUEVO
COSTA AZUL,VENTALQUILER,"$1,300,000.00","$5,000.00",4,4,467,CASAS,NUEVO
BEGONIAS,VENTA,"$1,500,000.00",,4,4,570,CASAS,NUEVO
BALMORAL,VENTA,"$2,450,000.00",,4,5,803,CASAS,NUEVO
VERTIKAL,VENTALQUILER,"$400,000.00","$2,000.00",3,3,172,APARTAMENTOS,NUEVO
TITANIUM,VENTA,"$950,000.00",,3,3,374,APARTAMENTOS,NUEVO
TITANIUM,RENTANDO,"$585,000.00","$2,250.00",3,3,226,APARTAMENTOS,
PARAMOUNT,ALQUILER,"$3,900.00",,3,4,323,APARTAMENTOS,
TERRENO EN COSTA DEL ESTE,VENTA,"$1,637,887.00",,,,,,NUEVO
PEARL AT THE SEA,ALQUILER,"$3,400.00",,3,3,292,APARTAMENTOS,
ACQUA II,VENTA,"$1,100,000.00",,3,3,345,APARTAMENTOS,NUEVO
BREEZE,VENTA,"$510,000.00",,3,3,217,APARTAMENTOS,NUEVO
TITANIUM,RENTANDO,"$670,000.00","$2,400.00",3,3,234,APARTAMENTOS,
TITANIUM,RENTANDO,"$650,000.00","$2,500.00",3,3,226,APARTAMENTOS,
SOL DEL ESTE TORRE 1,VENTA,"$310,000.00","$1,600.00",3,3,147,APARTAMENTOS,DE SEGUNDA
SEVILLA,VENTA,"$310,000.00","$1,700.00",3,2,155,APARTAMENTOS,NUEVO
MAGNOLIAS,VENTA,"$3,825,000.00",,5,5,1200,CASAS,NUEVO
PARAMOUNT,ALQUILER,"$3,800.00",,3,3,313,APARTAMENTOS,
PALMERAS DEL ESTE,VENTA,"$1,075,000.00",,4,3,378,CASAS,NUEVO
PEARL AT THE SEA,VENTA,"$760,000.00",,3,3,292,APARTAMENTOS,NUEVO
BREEZE,VENTA,"$520,000.00",,3,3,217,APARTAMENTOS,NUEVO
ELEVATION,VENTA,"$400,000.00",,3,3,185,APARTAMENTOS,NUEVO
COSTA DEL ESTE COUNTRY CLUB T100,VENTA,"$470,000.00",,3,3,204,APARTAMENTOS,NUEVO
SOL DEL ESTE TORRE 2,VENTA,"$310,000.00","$1,600.00",3,3,147,APARTAMENTOS,DE SEGUNDA
PARQUE DEL MAR I,VENTA,"$530,000.00",,3,3,202,APARTAMENTOS,NUEVO
SOL DEL ESTE TORRE 2,ALQUILER,"$1,900.00",,3,3,147,APARTAMENTOS,
PARQUE DEL MAR I,VENTA,"$500,000.00",,3,3,202,APARTAMENTOS,NUEVO
ACQUA II,VENTA,"$1,200,000.00",,3,3,345,APARTAMENTOS,NUEVO
Greenview 3201,ALQUILER,"$2,500.00",,3,3,235,APARTAMENTOS,
PH PRIVILEDGE,VENTALQUILER,"$700,000.00",,3,3,235,APARTAMENTOS,
THE HERITAGE,VENTA,"$2,100,000.00",,4,4,640,APARTAMENTOS,NUEVO
THE RESERVE T300,VENTALQUILER,"$1,249,000.00",,4,4,416,APARTAMENTOS,NUEVO
THE RESERVE T300,VENTA,"$750,000.00",,4,5,296,APARTAMENTOS,NUEVO
BUENAVISTA RESIDENCES,ALQUILER,"$4,500.00",,3,3,400,APARTAMENTOS,
BUENAVISTA RESIDENCES,VENTA,"$1,199,000.00",,3,3,400,APARTAMENTOS,NUEVO
LA VISTA ON THE GREEN,VENTA,"$1,700,000.00",,3,3,572,APARTAMENTOS,NUEVO
LA VISTA ON THE GREEN,VENTA,"$875,000.00",,3,3,336,APARTAMENTOS,NUEVO
THE RESERVE T300,VENTA,"$690,000.00",,4,4,296,APARTAMENTOS,NUEVO
The Reserve Santa Maria Torre legacy 400,ALQUILER,"$3,000.00",,4,4,270,APARTAMENTOS,
PH Heritage,ALQUILER,"$8,000.00",,4,4,612,APARTAMENTOS,
SANTA MARIA BUSINESS DISTRICT,VENTA,"$5,198,267.00",,,,,,NUEVO
GREENVIEW,ALQUILER,"$2,500.00",,3,3,215,APARTAMENTOS,
VALERY POINT,VENTA,"$1,158,795.00",,3,3,351,APARTAMENTOS,NUEVO
THE HERITAGE,VENTA,"$3,198,050.00",,3,3,640,APARTAMENTOS,NUEVO
EBBELLE,VENTALQUILER,"$260,000.00","$1,500.00",3,3,158,APARTAMENTOS,DE SEGUNDA
SOL MARINA REMODELADO – 242M2,VENTA,"$399,000.00",,3,3,242,APARTAMENTOS,DE SEGUNDA
Marbella Tower,VENTA,"$265,000.00","$1,350.00",3,3,186,APARTAMENTOS,
Torre Ebbelle I,ALQUILER,"$1,275.00",,3,3,167,APARTAMENTOS,
Alquiler Marbella 3beds/3baths amoblado.,ALQUILER,"$1,150.00",,3,3,135,APARTAMENTOS,
PH Girasol,VENTA,"$225,000.00",,3,2,168,APARTAMENTOS,DE SEGUNDA
MARABIERTO,ALQUILER,"$2,000.00",,3,3,264,APARTAMENTOS,
"Apartamento en Marbella, Ph Alfil",VENTA,"$225,000.00",,3,3,174,APARTAMENTOS,DE SEGUNDA
PH LOS DELFINES APT 36,VENTALQUILER,"$760,000.00","$4,500.00",4,4,560,APARTAMENTOS,NUEVO
Grand Bay 2 recámaras,VENTA,"$225,000.00",,2,2,97,APARTAMENTOS,DE SEGUNDA
BAHIA ESMERALDA,VENTA,"$910,000.00",,4,4,497,APARTAMENTOS,NUEVO
Luxury apartment in Yoo Panama,VENTA,"$359,000.00",,1,1,121,APARTAMENTOS,DE SEGUNDA
TORRE MARBELLA,VENTA,"$285,000.00",,3,3,187,APARTAMENTOS,DE SEGUNDA
BAHIA ESMERALDA,VENTA,"$418,500.00",,3,3,245,APARTAMENTOS,NUEVO
BAHIA ESMERALDA,VENTALQUILER,"$458,000.00","$2,350.00",3,3,246,APARTAMENTOS,NUEVO
MARBELLA TOWER II,ALQUILER,"$1,450.00",,3,3,213,APARTAMENTOS,
RIO MAR,VENTA,"$260,000.00",,3,2,215,APARTAMENTOS,DE SEGUNDA
BRISAS MARBELLA,ALQUILER,"$1,900.00",,3,3,212,APARTAMENTOS,
COSTA DEL MAR,VENTA,"$350,000.00",,3,3,241,APARTAMENTOS,DE SEGUNDA
MARBELLA TOWER 1,ALQUILER,"$1,500.00",,2,138,,APARTAMENTOS,
MARBELLA 47,VENTA,"$515,000.00",,3,3,195,APARTAMENTOS,NUEVO
CORAL REEF,ALQUILER,"$1,400.00",,1,1,90,APARTAMENTOS,
MARBELLA TOWER II,VENTALQUILER,"$288,000.00","$1,900.00",3,3,213,APARTAMENTOS,DE SEGUNDA
CASA COMERCIAL EN MARBELLA,RENTANDO,"$1,650,000.00","$5,500.00",10,9,583,CASAS,
MARBELLA TOWER II,VENTA,"$420,000.00",,3,4,213,APARTAMENTOS,NUEVO
PANAMAR,VENTA,"$690,000.00",,3,,3,APARTAMENTOS,NUEVO
ICON TOWER,VENTA,"$315,000.00",,3,,3,APARTAMENTOS,DE SEGUNDA
SOBRE LAS ROCAS,VENTALQUILER,"$695,000.00","$2,450.00",3,,3,APARTAMENTOS,NUEVO
PUNTARENAS,VENTALQUILER,"$670,000.00","$2,900.00",3,,3,APARTAMENTOS,NUEVO
Panamar Apt 2 A,VENTA,"$625,000.00",,3,,3,APARTAMENTOS,NUEVO
SANTORINI,VENTALQUILER,"$970,000.00","$4,000.00",3,,3,APARTAMENTOS,NUEVO
OCEAN SKY,ALQUILER,"$1,600.00",,2,,2,APARTAMENTOS,
P.H. OCEAN SKY EN VENTA PISO COMPLETO,VENTA,"$650,000.00",,3,,2,APARTAMENTOS,NUEVO
OCEAN SKY,VENTA,"$1,500,000.00","$5,500.00",3,,3,APARTAMENTOS,NUEVO
DA VINCI,VENTALQUILER,"$389,000.00","$1,700.00",3,,3,APARTAMENTOS,DE SEGUNDA
APARTAMENTO EN OCEAN SKY COCO DEL MAR,VENTA,"$325,000.00",,2,,2,APARTAMENTOS,DE SEGUNDA
LE MARE,RENTANDO,"$265,000.00","$1,300.00",2,,2,APARTAMENTOS,
ICON TOWER,ALQUILER,"$1,250.00",,1,,1,APARTAMENTOS,
Edificio Panamar,VENTA,"$1,325,000.00",,4,,4,APARTAMENTOS,NUEVO
COCO PALACE,RENTANDO,"$445,000.00","$1,500.00",3,,3,APARTAMENTOS,
PUNTARENAS,VENTA,"$660,000.00",,3,,3,APARTAMENTOS,NUEVO
BOUTIQUE QUARTIER DEL MAR,VENTA,"$280,000.00",,2,,2,APARTAMENTOS,DE SEGUNDA
CASA EN COCO DEL MAR,VENTALQUILER,"$715,000.00","$3,750.00",5,,4,CASAS,NUEVO
SANTORINI,VENTA,"$995,000.00",,3,,3,APARTAMENTOS,NUEVO
SANTORINI,VENTA,"$995,000.00",,3,,3,APARTAMENTOS,NUEVO
VERANDA TOWER,VENTALQUILER,"$337,500.00","$2,400.00",2,,3,APARTAMENTOS,DE SEGUNDA
TORRES COCO MAR,ALQUILER,"$1,300.00",,2,,2,APARTAMENTOS,
ICON TOWER,VENTA,"$331,200.00",,2,,2,APARTAMENTOS,DE SEGUNDA
LONG BEACH,ALQUILER,"$2,000.00",,3,,3,APARTAMENTOS,
BALEARES,VENTA,"$595,000.00",,4,,4,APARTAMENTOS,NUEVO
BELVEDERE,VENTALQUILER,"$680,000.00","$4,000.00",5,,5,APARTAMENTOS,NUEVO
LE MARE,ALQUILER,"$1,400.00",,1,,1,APARTAMENTOS,
EMBASSY CLUB COURTYARD II, VENTA,"$260,000.00",,2,,2,APARTAMENTOS,DE SEGUNDA
TOWNHOUSE EMBASSY CLUB, VENTALQUILER,"$599,000.00","$2,800.00",3,,3,CASAS,NUEVO
"Calle Parker y Calle Hill, Ciudad del Sa", ALQUILERMLS Acobir,"$2,300.00",,4,,2,CASAS,
Greenfield Casa 18, VENTAMLS Acobir,"$440,000.00",,3,,3,CASAS,NUEVO
CASA EN CLAYTON, VENTALQUILER,"$675,000.00","$2,800.00",3,,2,CASAS,NUEVO
CANAL VIEW, ALQUILER,"$2,500.00",,3,,3,APARTAMENTOS,
EMBASSY GARDEN 10, ALQUILER,"$3,200.00",,3,,2,APARTAMENTOS,
CLAYTON PARK, VENTA,"$290,000.00",,3,,2,APARTAMENTOS,DE SEGUNDA
EMBASSY CLUB COURTYARD II, VENTA,"$375,000.00",,2,,2,APARTAMENTOS,DE SEGUNDA
THE REGENT,VENTA,"$275,000.00",,3,,2,APARTAMENTOS,DE SEGUNDA
PLAZA REAL,VENTA,"$255,000.00",,3,,2,APARTAMENTOS,DE SEGUNDA
LAS MARQUESAS,VENTA,"$220,000.00",,3,,2,APARTAMENTOS,DE SEGUNDA
PH Joy Tower,VENTALQUILER,"$425,000.00",,3,,3,APARTAMENTOS,NUEVO
PH COUNTRY PARK,VENTA,"$230,000.00",,3,,2,APARTAMENTOS,DE SEGUNDA
Aquamarina,VENTA,"$130,000.00",,2,,3,APARTAMENTOS,DE SEGUNDA
ALQUILADO Y GENERANDO INGRESOS MENSUAL,VENTA,"$160,000.00",,2,,2,APARTAMENTOS,DE SEGUNDA
PREMIER LOFT,VENTA,"$661,500.00",,3,,3,APARTAMENTOS,NUEVO
7400 EAST,VENTA,"$350,000.00",,3,,3,APARTAMENTOS,DE SEGUNDA
PH TEE ONE,ALQUILER,$900.00,,2,,2,APARTAMENTOS,
Apartamento en San Francisco Bay 600,ALQUILER,$980.00,,2,,2,APARTAMENTOS,
THE VIEW,VENTA,"$335,000.00",,3,,3,APARTAMENTOS,DE SEGUNDA
DIAMOND TOWER,VENTA,"$180,000.00",,3,,2,APARTAMENTOS,DE SEGUNDA
PH TERRASOL,VENTALQUILER,"$240,000.00",,3,,3,APARTAMENTOS,DE SEGUNDA
LOS FLAMINGOS,VENTALQUILER,"$460,000.00",,4,,6,CASAS,NUEVO
Ph Cabomarzo,VENTA,"$249,900.00",,3,,2,APARTAMENTOS,DE SEGUNDA
PREMIER LOFT,VENTA,"$550,000.00",,3,,3,APARTAMENTOS,NUEVO
San Francisco Bay 26-B,VENTA,"$189,000.00",,2,,2,APARTAMENTOS,DE SEGUNDA
Concept,VENTALQUILER,"$210,000.00",,2,,2,APARTAMENTOS,DE SEGUNDA
Harmony Tower,ALQUILER,$950.00,,1,,1,APARTAMENTOS,
Bah¡a Pac¡fica,VENTA,"$2,450,000.00",,4,,5,APARTAMENTOS,NUEVO
San Francisco Bay T400,VENTALQUILER,"$420,000.00",,3,,3,APARTAMENTOS,NUEVO
Casa En San Francisco,ALQUILER,"$2,650.00",,4,,3,CASAS,
WATERFALLS,VENTA,"$460,000.00",,3,,3,APARTAMENTOS,NUEVO
TAO TOWER,RENTANDO,"$385,000.00",,3,,3,APARTAMENTOS,
Terrawind Piso 29 C,ALQUILER,"$1,250.00",,3,,2,APARTAMENTOS,
Apartamento en Torres de San Francisco,VENTA,"$125,000.00",,2,,1,APARTAMENTOS,DE SEGUNDA
SAN FRANCISCO BAY T100,VENTA,"$152,500.00",,2,,2,APARTAMENTOS,DE SEGUNDA
South Coast Tower,ALQUILER,$950.00,,2,,2,APARTAMENTOS,
THE TOWERS T100,VENTALQUILER,"$380,000.00",,3,,2,APARTAMENTOS,DE SEGUNDA
P.H DIAMOND TOWER,ALQUILER,$950.00,,2,,2,APARTAMENTOS,
PH The Regent,VENTA,"$280,000.00",,2,,3,APARTAMENTOS,DE SEGUNDA
SAN FRANCISCO BAY,ALQUILER,$900.00,,2,,2,APARTAMENTOS,
SAN FRANCISCO BAY T600,ALQUILER,"$1,200.00",,2,,2,APARTAMENTOS,
CASA EN SAN FRANCISCO,RENTANDO,"$850,000.00",,4,,3,CASAS,
BUGANVILLA,VENTA,"$220,000.00",,3,,3,APARTAMENTOS,DE SEGUNDA
Se alquila elegante apto en PH Portofino,ALQUILER,"$1,500.00",,3,,2,APARTAMENTOS,
Terrawind torre 1000,VENTA,"$220,000.00",,3,,2,APARTAMENTOS,DE SEGUNDA
DIAGONAL AL CENTRO COMERCIAL MULTIPLAZA,VENTALQUILER,"$300,000.00",,2,,3,APARTAMENTOS,
PH Sky Blue,VENTA,"$190,000.00",,2,,2,APARTAMENTOS,DE SEGUNDA
APARTAMENTO EN SAN FRANCISCO 67,VENTA,"$275,000.00",,2,,3,APARTAMENTOS,DE SEGUNDA
GREAT CITY TOWER,ALQUILER,"$1,400.00",,2,,2,APARTAMENTOS,
Park Loft,ALQUILER,"$1,300.00",,1,,1,APARTAMENTOS,
PH HARMONY TOWER,VENTALQUILER,"$198,000.00",,1,,1,APARTAMENTOS,DE SEGUNDA
Terrawind,VENTALQUILER,"$275,000.00",,3,,3,APARTAMENTOS,DE SEGUNDA
Torre Mar del Sur,ALQUILER,$800.00,,2,,2,APARTAMENTOS,
VENTA ? PH THE REGENT ? SAN FRANCISCO,VENTA,"$285,000.00",,2,,3,APARTAMENTOS,DE SEGUNDA
HARMONY TOWER,VENTA,"$179,000.00",,1,,1,APARTAMENTOS,DE SEGUNDA
STAR BAY,VENTALQUILER,"$265,000.00",,3,,3,APARTAMENTOS,DE SEGUNDA
TERRENO EN SAN FRANCISCO,VENTALQUILER,"$475,000.00",,,,,,NUEVO
PH Tee One,ALQUILER,"$1,300.00",,3,,3,APARTAMENTOS,
San Francisco Bay Torre 200,ALQUILER,"$1,000.00",,2,,2,APARTAMENTOS,
INFINITY TOWER,VENTA,"$560,000.00",,3,,4,APARTAMENTOS,NUEVO
Casa San Francisco # 46,VENTA,"$1,100,000.00",,3,,2,CASAS,NUEVO
COCINA ESTILO AMERICANA | PUNTA PACIFICA,VENTA,"$300,000.00",,3,,4,APARTAMENTOS,DE SEGUNDA
PACIFIC BAY,VENTALQUILER,"$390,000.00",,3,,3,APARTAMENTOS,DE SEGUNDA
PARK LOFT,VENTALQUILER,"$229,000.00",,1,,1,APARTAMENTOS,DE SEGUNDA
Mandarin Bay 30-A,VENTA,"$447,000.00",,3,,3,APARTAMENTOS,NUEVO
PH GENESIS TOWER,VENTA,"$265,000.00",,2,,2,APARTAMENTOS,DE SEGUNDA
STAR BAY,VENTA,"$342,000.00",,3,,3,APARTAMENTOS,DE SEGUNDA
PORTO FINO,ALQUILER,"$1,190.00",,3,,2,APARTAMENTOS,
THE REGENT,VENTA,"$360,000.00",,3,,3,APARTAMENTOS,DE SEGUNDA
QUADRAT,ALQUILER,"$1,500.00",,2,,2,APARTAMENTOS,
THE REGENT,VENTA,"$300,000.00",,2,,2,APARTAMENTOS,DE SEGUNDA
INFINITY TOWER,VENTA,"$295,000.00",,3,,2,APARTAMENTOS,DE SEGUNDA
Aquamarina,VENTA,"$135,000.00",,2,,2,APARTAMENTOS,DE SEGUNDA
PH TERRAWIND,VENTA,"$215,000.00",,3,,2,APARTAMENTOS,DE SEGUNDA
PH TERRAWIND,VENTA,"$239,000.00",,3,,4,APARTAMENTOS,DE SEGUNDA
PARK HOUSE,RENTANDO,"$160,500.00",,3,,2,APARTAMENTOS,
SAN FRANCISCO 67,RENTANDO,"$250,000.00",,2,,2,APARTAMENTOS,
SAN FRANCISCO 67,VENTA,"$258,800.00",,2,,2,APARTAMENTOS,DE SEGUNDA
SERENITY AT THE BAY,VENTA,"$240,000.00",,2,,2,APARTAMENTOS,DE SEGUNDA
MARINA PLAZA,VENTA,"$270,000.00",,2,,2,APARTAMENTOS,DE SEGUNDA
SAN FRANCISCO BAY T100,VENTA,"$180,000.00",,2,,2,APARTAMENTOS,DE SEGUNDA
7400,VENTA,"$330,000.00",,3,,2,APARTAMENTOS,DE SEGUNDA
THE REGENT,VENTA,"$300,000.00",,2,,2,APARTAMENTOS,DE SEGUNDA
FAIRMONT PLAZA,VENTA,"$257,000.00",,2,,2,APARTAMENTOS,DE SEGUNDA
THE COSMOPOLITAN,RENTANDO,"$235,000.00",,2,,2,APARTAMENTOS,
EMPORIUM TOWER,ALQUILER,"$1,550.00",,3,,2,APARTAMENTOS,
MONTEMAR,VENTALQUILER,"$160,000.00",,2,,2,APARTAMENTOS,DE SEGUNDA
PREMIUM TOWER,VENTA,"$515,000.00",,3,,3,APARTAMENTOS,NUEVO
WATERFALLS,VENTA,"$435,000.00",,3,,3,APARTAMENTOS,NUEVO
QUADRAT,ALQUILER,"$1,850.00",,2,,2,APARTAMENTOS,
WINDOW TOWER,VENTALQUILER,"$398,000.00",,3,,2,APARTAMENTOS,DE SEGUNDA
THE ONE,RENTANDO,"$275,000.00",,2,,2,APARTAMENTOS,
PACIFIC WIND,VENTA,"$259,000.00",,3,,3,APARTAMENTOS,DE SEGUNDA
MONTEMAR,VENTA,"$160,000.00",,2,,2,APARTAMENTOS,DE SEGUNDA
PLAZA MARINA,VENTALQUILER,"$165,000.00",,2,,2,APARTAMENTOS,DE SEGUNDA
CASA EN SAN FRANCISCO,VENTA,"$500,000.00",,3,,2,CASAS,NUEVO
GREEN POINT,RENTANDO,"$170,100.00",,2,,1,APARTAMENTOS,
KEOPS TOWER,ALQUILER,"$2,000.00",,3,,3,APARTAMENTOS,
TERRAWIND TORRE 1000,VENTA,"$248,500.00",,3,,2,APARTAMENTOS,DE SEGUNDA
TERRAWIND TORRE 2000,VENTALQUILER,"$278,000.00",,3,,3,APARTAMENTOS,DE SEGUNDA
PARK LOFT,VENTA,"$329,500.00",,2,,2,APARTAMENTOS,DE SEGUNDA
SERENITY,ALQUILER,"$1,600.00",,2,,2,APARTAMENTOS,
CAPRICE,VENTA,"$186,000.00",,2,,3,APARTAMENTOS,DE SEGUNDA
PREMIER LOFT,VENTA,"$560,000.00",,3,,3,APARTAMENTOS,NUEVO
HARMONY,RENTANDO,"$480,000.00",,3,,2,APARTAMENTOS,
JOY,VENTA,"$440,000.00",,3,,2,APARTAMENTOS,NUEVO
PALMA REAL,ALQUILER,"$1,150.00",,2,,2,APARTAMENTOS,
PREMIER LOFT,VENTALQUILER,"$600,000.00",,3,,3,APARTAMENTOS,NUEVO
TERRENO EN SAN FRANCISCO,ALQUILER,"$3,500.00",,,,,,
THE COSMOPOLITAN,VENTA,"$199,000.00",,2,,2,APARTAMENTOS,DE SEGUNDA
TERRAWIND TORRE 1000,ALQUILER,"$1,350.00",,3,,3,APARTAMENTOS,
CASA EN SAN FRANCISCO,VENTA,"$1,300,000.00",,4,,3,CASAS,NUEVO
STAR BAY,VENTALQUILER,"$375,000.00",,3,,3,APARTAMENTOS,DE SEGUNDA
KOLOSAL TOWER,VENTA,"$312,000.00",,2,,1,APARTAMENTOS,DE SEGUNDA
PREMIUM TOWER,VENTA,"$585,000.00",,3,,3,APARTAMENTOS,NUEVO
WATERFALLS,ALQUILER,"$1,800.00",,2,,2,APARTAMENTOS,
PREMIER LOFT,VENTALQUILER,"$600,000.00",,3,,3,APARTAMENTOS,NUEVO
SERENITY,VENTALQUILER,"$285,000.00",,2,,3,APARTAMENTOS,DE SEGUNDA
SERENITY,VENTALQUILER,"$462,800.00",,2,,3,APARTAMENTOS,NUEVO
JOY,VENTA,"$493,097.00",,3,,2,APARTAMENTOS,NUEVO
JOY,VENTA,"$493,097.00",,3,,2,APARTAMENTOS,NUEVO
PLAZA REAL,VENTA,"$290,000.00",,3,,2,APARTAMENTOS,DE SEGUNDA
TORRE DEL MAR,ALQUILER,"$5,000.00",,3,,3,APARTAMENTOS,
LATORRACA,ALQUILER,"$1,300.00",,3,,2,APARTAMENTOS,
PREMIUM TOWER,VENTA,"$425,000.00",,3,,3,APARTAMENTOS,NUEVO
PACIFIC BAY,VENTALQUILER,"$530,000.00",,3,,3,APARTAMENTOS,NUEVO
LATORRACA,VENTA,"$260,000.00",,3,,2,APARTAMENTOS,DE SEGUNDA
TERRAZAS DEL PACIFICO,VENTA,"$970,000.00",,4,,4,APARTAMENTOS,NUEVO
